,n1,n2,n3,per_day_count,per_day_change_volume,per_day_change_money,per_count_change_time,performance,drawback,money
0,1,1,5,3,5182349.906966751,27355554.908236522,50.26586102719033,-7.215328768530716,14.889572504751975,10000000
1,1,1,5,3,5811108.362401746,30705387.38435331,51.78851963746224,-2.940978506364511,8.383542341912726,20000000
2,1,1,6,3,2876998.1570403916,15171507.101146506,47.51162790697674,-3.891191913732528,5.9590623333578305,10000000
3,1,1,6,3,3139005.423289667,16570006.973184204,48.48837209302326,-2.247648891988119,3.2820824529299193,20000000
4,1,1,7,3,1173724.1015824438,6182813.133995249,20.90909090909091,0.07398567363645636,2.842094217569828,10000000
5,1,1,7,3,1202749.140893472,6333621.32406312,21.0,0.037330732414009304,1.438094991450283,20000000
6,1,2,5,3,9364101.13677803,49227496.93578215,31.890724269377383,-7.01893988052581,16.100938884522844,10000000
7,1,2,5,3,9726605.448050667,51194252.36846216,25.31130876747141,-2.337315909233051,9.008111819713584,20000000
8,1,2,6,3,7967261.740942986,41894512.67602173,34.71111111111111,8.423491783318804,7.723582627092195,10000000
9,1,2,6,3,8571320.205297198,45132368.25301939,35.611111111111114,6.03166807699711,4.396281934955798,20000000
10,1,2,7,3,6137738.376344586,32325781.40529549,30.595174262734584,7.524392242439881,4.016994379688831,10000000
11,1,2,7,3,6781602.278823398,35766529.59907853,32.50938337801609,5.079122527066282,2.092677151448664,20000000
12,1,3,5,3,9477193.92774339,49849949.16909048,27.606299212598426,-3.7566544207409014,9.969694095183215,10000000
13,1,3,5,3,9697754.473282479,51056597.08380703,27.64566929133858,-0.4412450454014949,5.411195897601082,20000000
14,1,3,6,3,8800118.342969496,46302931.59020609,41.870860927152314,-5.669663302255534,7.9041735784163984,10000000
15,1,3,6,3,9166626.103268221,48280244.250919074,42.30794701986755,-2.349961417184321,4.905569687942797,20000000
16,1,3,7,3,7655120.425072485,40280051.53421039,26.073170731707318,2.7368215616334846,4.456870456243791,10000000
17,1,3,7,3,8419213.223461047,44369573.8152778,27.29268292682927,1.0227496002700454,2.608997919616059,20000000
18,1,4,5,3,7963272.513157091,41954158.99514148,37.251461988304094,-9.317357792779957,9.89671666426791,10000000
19,1,4,5,3,8109965.635738802,42710855.28896542,37.45029239766082,-6.455369160543234,6.075156894561089,20000000
20,1,4,6,3,7346716.213364398,38745765.65064953,40.27272727272727,-9.719967432138322,8.975578499286417,10000000
21,1,4,6,3,7594501.7182130385,40050956.20322071,40.493506493506494,-4.838109986595618,4.476497586573176,20000000
22,1,4,7,3,6331103.16930173,33327830.690142635,16.848,-4.475277481588369,7.705757235004381,10000000
23,1,4,7,3,6632302.405498282,34918693.90678181,17.392,-4.1918285155447155,3.791130483544674,20000000
24,1,5,5,3,4959688.746257474,26150831.771123096,20.4,-8.554413484886236,9.47249638025308,10000000
25,1,5,5,3,5120274.914089361,27004059.573135868,20.917241379310344,-6.24349983234469,6.797644583402798,20000000
26,1,5,6,3,4643799.228697936,24509075.95879597,40.324528301886794,-4.327589412535526,7.642331432373208,10000000
27,1,5,6,3,4673539.518900356,24663101.090229683,40.41509433962264,-2.8338748441826156,4.540799479565602,20000000
28,1,5,7,3,4373547.936587977,23069423.92472446,18.169354838709676,-2.578294606751741,4.866211715219486,10000000
29,1,5,7,3,4467353.951890046,23582972.59754839,18.31451612903226,-3.526906424770726,3.757246905303039,20000000
30,1,6,5,3,2508340.8712365404,13300700.758525431,19.636363636363637,1.8372440439637483,5.9247607715667785,10000000
31,1,6,5,3,2508591.065292092,13302140.901562266,19.594405594405593,0.9193024916984927,2.9623803857834266,20000000
32,1,6,6,3,2508591.065292092,13299659.612074299,19.6056338028169,1.6006584865323248,5.072261078717168,10000000
33,1,6,6,3,2508591.065292092,13299659.612074299,19.6056338028169,0.8003292432662512,2.5361305393585187,20000000
34,1,6,7,3,2405498.2817869373,12750389.65725503,18.266666666666666,1.693258402509823,3.583310711950157,10000000
35,1,6,7,3,2405498.2817869373,12750389.65725503,18.266666666666666,0.8466292012549115,1.7916553559750692,20000000
36,1,7,5,3,1271477.6632302415,6729480.156128608,24.428571428571427,-0.7024081566324836,6.202941274258774,10000000
37,1,7,5,3,1271477.6632302415,6729480.1561286105,24.428571428571427,-0.35120407831631395,3.1014706371294336,20000000
38,1,7,6,3,1168384.8797250865,6184393.21987142,22.125,-2.194074988443928,6.502750902294106,10000000
39,1,7,6,3,1168384.8797250865,6184393.928588628,22.125,-1.0973812220668067,3.251719178991821,20000000
40,1,7,7,3,1168384.8797250867,6188808.0278458735,17.53846153846154,-2.2399671111680064,5.265321686166786,10000000
41,1,7,7,3,1168384.8797250867,6188808.0278458735,17.53846153846154,-1.119983555583992,2.6326608430833556,20000000
42,1,8,5,3,481099.65635738836,2571491.257957674,20.0,-0.9596961872570975,3.0698987437334284,10000000
43,1,8,5,3,481099.65635738836,2571491.257957674,20.0,-0.4798480936285432,1.5349493718666956,20000000
44,1,8,6,3,446735.39518900355,2396384.9705574056,20.88,-1.1917050017168362,2.946920197183378,10000000
45,1,8,6,3,446735.39518900355,2396384.9705574065,20.88,-0.5958525008584958,1.4734600985916704,20000000
46,1,8,7,3,515463.91752577317,2754976.312805533,20.275862068965516,-1.2287103484335038,2.2051456205500477,10000000
47,1,8,7,3,515463.91752577317,2754976.312805533,20.275862068965516,-0.6143551742168185,1.1025728102750332,20000000
48,1,9,5,3,103092.78350515466,558596.4050245634,35.0,0.5714982095263998,0.6667089182295216,10000000
49,1,9,5,3,103092.78350515466,558596.4050245634,35.0,0.2857491047631999,0.33343101277722537,20000000
