,n1,n2,n3,per_day_count,per_day_change_volume,per_day_change_money,per_count_change_time,performance,drawback,money
0,1,1,5,3,5014778.720595232,25214359.17238716,41.90389016018307,9.987881433883828,7.544193059950581,10000000
1,1,1,5,3,5364950.595546955,26979544.286848143,43.90846681922197,4.606380332281934,3.539609216680459,20000000
2,1,1,6,3,2408897.8934211014,12085451.513737882,30.178217821782177,6.427247226916077,3.007800241332336,10000000
3,1,1,6,3,2517442.263273671,12629519.116751574,31.96039603960396,2.4328329336812615,2.4183728181709125,20000000
4,1,1,7,3,1202839.958487816,6040863.13188688,27.807692307692307,3.7610555108860577,2.9364602748942152,10000000
5,1,1,7,3,1255707.7625570768,6306537.2371554645,29.423076923076923,1.9231749371268814,1.4547359161153839,20000000
6,1,2,5,3,9144236.020979531,46023016.490832575,26.0,-6.4298164643896705,9.662390992783223,10000000
7,1,2,5,3,9654333.626830455,48579157.92960898,27.318918918918918,-2.566568316544793,4.9211243472603545,20000000
8,1,2,6,3,7509760.48736351,37735356.69350516,32.91056910569106,-2.8927972798915347,7.721608523164522,10000000
9,1,2,6,3,8075206.17296953,40599773.27210673,34.86178861788618,-2.3403391039336863,4.518584120253784,20000000
10,1,2,7,3,5638955.641425219,28328949.17893448,58.896,0.0908445962576998,7.01360905936554,10000000
11,1,2,7,3,6118582.4497113135,30761866.70044381,60.912,-0.8645561024086867,4.4759826404218,20000000
12,1,3,5,3,9363777.827047251,47138216.73450518,27.66386554621849,-22.447042369954506,22.570645259256345,10000000
13,1,3,5,3,9583365.680554768,48238904.96760726,28.179271708683473,-11.295422298616487,11.72183301905647,20000000
14,1,3,6,3,8153073.073603624,41023926.4845676,38.60679611650485,-12.273267279909195,13.640158975240467,10000000
15,1,3,6,3,8555551.568623478,43068924.888078846,46.237864077669904,-5.875821004609117,6.799053542823607,20000000
16,1,3,7,3,7026536.206814389,35359470.14166209,35.77570093457944,-9.67141640942838,12.209464155222681,10000000
17,1,3,7,3,7400462.734507727,37262238.10443616,36.8411214953271,-5.518532758706208,7.087412574773133,20000000
18,1,4,5,3,7228173.875454626,36371276.48499462,59.32941176470588,-11.800375515673311,14.39636551028627,10000000
19,1,4,5,3,7479111.29239285,37653603.42540188,59.71764705882353,-5.403511165280916,6.893870036166548,20000000
20,1,4,6,3,6387161.33543582,32146582.008407634,57.25476603119584,-1.5979810493362279,6.433439376331172,10000000
21,1,4,6,3,6680081.436894736,33638887.808373794,58.294627383015595,-0.22431507745120927,3.2046080319364587,20000000
22,1,4,7,3,5550032.49173794,27929005.545719855,29.962886597938144,-9.535360981923624,11.11864445723186,10000000
23,1,4,7,3,5856764.901083474,29481615.281251736,31.051546391752577,-4.159589026407307,5.424939254580667,20000000
24,1,5,5,3,3941966.3250816693,19822686.29361793,44.93913043478261,-2.578400893631805,6.655385738013242,10000000
25,1,5,5,3,4024443.6245832886,20241574.341994956,45.356521739130436,-1.1911245352922983,3.3469068384882603,20000000
26,1,5,6,3,3486513.5180902053,17537532.21162572,48.39867109634552,-0.4277241059075676,8.022560834355282,10000000
27,1,5,6,3,3561643.835616451,17922436.042927496,48.83720930232558,-0.03971054377065464,4.286413787447611,20000000
28,1,5,7,3,3230496.585657182,16220761.080024602,30.217391304347824,-2.188160241759285,10.03320819999079,10000000
29,1,5,7,3,3287671.232876723,16517246.439238302,30.347826086956523,-0.9801586540897356,5.2957645780398455,20000000
30,1,6,5,3,2018498.744417475,10157694.820646388,28.8268156424581,-1.8091805467369437,5.404302681594012,10000000
31,1,6,5,3,2054794.5205479437,10336246.012477234,29.899441340782122,-0.9676405479801309,2.7973538193318097,20000000
32,1,6,6,3,1722561.0633335365,8679475.02079212,30.236842105263158,3.7356353621203153,2.4418085107023626,10000000
33,1,6,6,3,1757990.8675799046,8857918.732630923,31.42105263157895,1.8552078808121486,1.2442357112783806,20000000
34,1,6,7,3,1626952.6162260154,8186501.057705742,33.2112676056338,2.360648607049276,4.05629393541281,10000000
35,1,6,7,3,1643835.616438353,8269235.975711055,34.225352112676056,1.1277248033123133,2.071277387370927,20000000
36,1,7,5,3,1004566.2100456626,5067840.456884591,24.545454545454547,-2.9905823268014164,6.982489055156855,10000000
37,1,7,5,3,1004566.2100456626,5067840.456884591,24.545454545454547,-1.4952911634007804,3.5402823501254845,20000000
38,1,7,6,3,913242.0091324212,4611076.599000955,27.0,-0.4575697514249355,4.387605541638914,10000000
39,1,7,6,3,913242.0091324212,4611076.599000955,27.0,-0.2287848757125066,2.221686497617946,20000000
40,1,7,7,3,867579.9086758001,4372201.682382313,29.526315789473685,-0.42820088254146293,4.075539288650912,10000000
41,1,7,7,3,867579.9086758001,4372201.682382313,29.526315789473685,-0.21410044127077033,2.066104503623014,20000000
42,1,8,5,3,433789.95433789934,2204026.7900754567,23.05263157894737,-2.4844306165336283,4.341470785937203,10000000
43,1,8,5,3,433789.95433789934,2204026.7900754567,23.05263157894737,-1.2422153082668363,2.1802468251377234,20000000
44,1,8,6,3,433789.95433789934,2201721.685962957,22.736842105263158,-2.477510677283523,4.238846318290354,10000000
45,1,8,6,3,433789.95433789934,2201721.685962957,22.736842105263158,-1.238755338641817,2.127478076630679,20000000
46,1,8,7,3,388127.8538812784,1962865.3876579339,26.470588235294116,-1.4429008367168317,3.0067561369769047,10000000
47,1,8,7,3,388127.8538812784,1962865.3876579343,26.470588235294116,-0.7214504183584491,1.5100635681973706,20000000
48,1,9,5,3,159817.35159817355,826324.5116448518,26.571428571428573,-3.553684680616853,4.037858309250023,10000000
49,1,9,5,3,159817.35159817355,826324.5116448516,26.571428571428573,-1.7768423403083933,2.024009556338796,20000000
50,1,9,6,3,159817.35159817355,826842.6937789269,15.428571428571429,-3.2387041753668133,3.7172523388501078,10000000
51,1,9,6,3,159817.35159817355,826842.6937789269,15.428571428571429,-1.6193520876834122,1.8632336264795153,20000000
52,1,9,7,3,114155.25114155252,587750.1068140754,20.4,-2.208543419050013,3.0585906388169577,10000000
53,1,9,7,3,114155.25114155252,587750.1068140753,20.4,-1.1042717095250287,1.5359709939443527,20000000
54,1,10,5,3,22831.050228310505,118073.17667857307,12.0,-0.3209670077833571,0.32096700778335335,10000000
55,1,10,5,3,22831.050228310505,118073.17667857307,12.0,-0.16048350389167299,0.16048350389167668,20000000
56,1,10,6,3,22831.050228310505,118086.0826542466,18.0,-0.3021242833000093,0.3021242833000049,10000000
57,1,10,6,3,22831.050228310505,118086.0826542466,18.0,-0.15106214165000464,0.15106214165000245,20000000
58,1,10,7,3,22831.050228310505,117983.0562989726,12.0,-0.45254276199999666,0.45254276200000193,10000000
59,1,10,7,3,22831.050228310505,117983.0562989726,12.0,-0.22627138099999833,0.22627138100000097,20000000
60,2,1,5,3,7175691.047347184,36112693.52585249,33.856515373352856,6.013042067577445,8.94067600359613,10000000
61,2,1,5,3,7647809.022855457,38497507.066131294,35.33235724743778,3.184894064754462,4.473248765896765,20000000
62,2,1,6,3,4064812.011986037,20414971.081431657,44.88,-0.2281129873779375,6.093918162942093,10000000
63,2,1,6,3,4437509.569878973,22304918.607290328,47.691428571428574,-0.7687787066476215,3.6008704533789357,20000000
64,2,1,7,3,2295728.9086771538,11533480.158279173,54.79802955665025,1.0454276497413595,4.9017250391072595,10000000
65,2,1,7,3,2463915.3940807213,12373915.942565434,57.399014778325125,1.0916421349203675,2.375480247558355,20000000
66,2,2,5,3,8903769.699742077,44838090.63246894,27.9067055393586,-1.6056254571258144,9.239493150787762,10000000
67,2,2,5,3,9317406.27470833,46918133.47446495,28.489795918367346,-1.1885786009838584,5.489048567359857,20000000
68,2,2,6,3,6652239.2012198735,33435348.851548802,26.4192,-1.550708988450733,8.00549827367349,10000000
69,2,2,6,3,7214597.41992043,36283200.07575408,28.2432,-0.5575930064538159,4.002904593517702,20000000
70,2,2,7,3,4548560.4334582575,22853203.329133667,54.878411910669975,3.203294561587544,6.247043140413505,10000000
71,2,2,7,3,4936304.1362831555,24813791.52949695,57.11166253101737,1.3856502540829707,3.5764582603780544,20000000
72,2,3,5,3,9714098.036975607,48905711.67010972,24.106194690265486,-18.066461277339428,18.65765451740206,10000000
73,2,3,5,3,9913923.873382049,49907792.41255693,24.376508447304907,-8.444655708565396,8.831270298672282,20000000
74,2,3,6,3,8601023.979150932,43263565.05063787,35.30357142857143,-5.210274903317858,8.387408619602654,10000000
75,2,3,6,3,9047258.31180892,45538359.83401741,36.200892857142854,-2.9903498084791424,5.539454877710075,20000000
76,2,3,7,3,7141492.057514212,35914209.69632952,35.5969465648855,-6.028066654275688,9.748386097194208,10000000
77,2,3,7,3,7623402.750953503,38355097.16944881,37.00763358778626,-3.480957107272553,5.664860240691686,20000000
78,2,4,5,3,9477724.558190431,47723256.17937732,36.30967741935484,-13.375339157288856,15.800694289532363,10000000
79,2,4,5,3,9691204.903984964,48798804.806696646,36.8184331797235,-6.5792069864819,7.630247385534372,20000000
80,2,4,6,3,8535981.799514672,42951199.0124712,42.84516880093132,-7.164022401643189,12.275191863577115,10000000
81,2,4,6,3,9002155.784595883,45322486.05213862,50.30500582072177,-4.3100889766135015,6.304726165303641,20000000
82,2,4,7,3,7314915.371527231,36781427.87668178,43.010432190760056,-3.1205374641605443,10.440325118566582,10000000
83,2,4,7,3,7774761.908128136,39125213.50622078,44.54843517138599,-2.16919274024151,5.37165830183656,20000000
84,2,5,5,3,8055364.432136328,40543651.04707148,38.666666666666664,-12.369752978093418,16.16965560745946,10000000
85,2,5,5,3,8284309.783115413,41691991.28063414,39.17037037037037,-6.537315602639993,8.511747801644992,20000000
86,2,5,6,3,7186244.749824107,36165790.409142956,51.8552036199095,0.497728127884689,8.656480288055835,10000000
87,2,5,6,3,7469434.203061757,37595193.283353366,52.61538461538461,-0.907666462099177,4.810220437211848,20000000
88,2,5,7,3,6261593.535630344,31489907.31493395,38.77757685352622,1.1326111297733865,9.568971517724078,10000000
89,2,5,7,3,6595627.837488687,33191138.537829556,39.64556962025316,-0.8277503149738741,5.400937153426757,20000000
90,2,6,5,3,6226980.397765349,31320259.11029683,28.67478260869565,-9.434508209087177,13.693266533649506,10000000
91,2,6,5,3,6421945.85339107,32301484.44104682,29.446956521739132,-5.396975182757158,7.667809281111365,20000000
92,2,6,6,3,5478479.907295594,27552226.34649551,29.714285714285715,-0.17389222996603282,5.035601929503681,10000000
93,2,6,6,3,5676000.624926263,28548881.177067205,30.53416149068323,-0.2351941010238945,2.9142035448954893,20000000
94,2,6,7,3,4925802.347280206,24749390.5085837,29.679814385150813,-3.392366534534874,8.645438011281122,10000000
95,2,6,7,3,5119977.68058608,25737087.19793684,42.96055684454756,-2.166289942896249,4.676677415153739,20000000
96,2,7,5,3,4389457.129661741,22084836.924376834,30.169665809768638,-10.008707513276748,12.592075992404455,10000000
97,2,7,5,3,4526990.149727902,22777477.82262666,31.002570694087403,-4.847746794687769,6.341961376543008,20000000
98,2,7,6,3,3885889.9838802763,19548505.178940892,32.02388059701492,-2.6678010278492925,7.7372117016142,10000000
99,2,7,6,3,3995433.789954346,20100455.54160575,32.561194029850746,-1.5582437685414563,4.033270537184205,20000000
100,2,7,7,3,3611616.7742749555,18145799.22705484,47.536977491961416,-5.989744118920715,11.14578290029742,10000000
101,2,7,7,3,3721461.187214627,18705585.729948983,48.11575562700965,-3.702075768262525,5.915981633442782,20000000
102,2,8,5,3,2931452.2942706887,14771401.162886329,29.741176470588236,-8.925306150034707,9.30215300981263,10000000
103,2,8,5,3,2990867.579908684,15079013.437921993,30.023529411764706,-4.628245016957033,4.8279556499699,20000000
104,2,8,6,3,2608436.5357796964,13143286.972180648,29.816593886462883,-4.663244142712674,5.990179443124109,10000000
105,2,8,6,3,2648401.8264840227,13351575.585063336,30.078602620087338,-2.529257170417454,3.016788443169703,20000000
106,2,8,7,3,2335205.424273653,11739229.64536547,55.0,-5.300954817431014,8.504528936999575,10000000
107,2,8,7,3,2374429.2237442937,11946261.47260692,55.294117647058826,-3.0760995371504896,4.341444577263136,20000000
108,2,9,5,3,1940639.2694063897,9773156.854495954,28.55421686746988,-11.076322337805367,11.442370803581067,10000000
109,2,9,5,3,1940639.2694063897,9773156.854495954,28.55421686746988,-5.538161168902667,5.735582103157556,20000000
110,2,9,6,3,1851527.6058427442,9325337.246450922,29.664596273291924,-9.334850766056647,10.113461177027082,10000000
111,2,9,6,3,1872146.118721458,9430473.767057125,30.26086956521739,-4.763246281450428,5.164849375948599,20000000
112,2,9,7,3,1714733.4438309877,8621594.182993269,27.44,-8.127262168229187,8.689593599969875,10000000
113,2,9,7,3,1735159.8173515948,8725763.625989897,27.76,-4.167942862725371,4.4599133137140905,20000000
114,2,10,5,3,1305087.3558232593,6556393.9987742305,28.24778761061947,-5.582481082825663,6.056469877413457,10000000
